aakkosellinen	الفبایی
grilli	جوشاننده ، پزنده ، بهم زننده ، جوجه یا پرنده کبابی, سیخ شبکه ای ، گوشت کباب کن ، روی سیخ یا انبر کباب کردن ، بریان کردن ، عذاب دادن ، پختن ، بریان شدن
groteski	غریب و عجیب ، بی تناسب ، مضحک ، تناقض دار
guinea	کشور گینه در افریقا ، 12 شیلینگ
h	اه ، پیف
h ikist	خیره کردن ، تابش یا روشنی خیره کننده
h ipy	گذشتن ، طی شدن ، رد شدن, ناپدید شدن ، غایب شدن ، پیدا نبودن, کم کم ناپدید شدن ، بتدریج محو و ناپدید شدن(مانند بخار) ، بطرف صفر میل کردن, محو کردن ، محو شدن, ناوگان ، عبور سریع ، زود گذر ، بادپا ، بسرعت گذشتن ، تندرفتن, رو بکاهش گذاشتن ، نقصان یافتن ، کم شدن ، افول ، کم و کاستی ، وارفتن ، به اخر رسیدن, ناپدید شدن ، به صفر رسیدن, موم ، مومی شکل ، شمع مومی ، رشد کردن ، زیاد شدن ، رو به بدر رفتن ، استحاله یافتن
h iriintynyt	اشفته ، ناراحت
h ivhdys	اثر ، نشان ، رد پا ، جای پا ، مقدار ناچیز ، ز ترسیم ، رسم ، ترسیم کردن ، ضبطکردن ، کشیدن ، اثر گذاشتن ، دنبال کردن ، پی کردن ، پی بردن به
h kil	شانه مخصوص شانه کردن لیف های کتان وابریشم ، کتان زن ، حشره پردار ، شانه کردن ، از هم بازکردن ، شکافتن ، متلا شی کردن
h lin	اشوب ، اضطراب ، جنبش ، اغتشاش ، هیاهو, قطع ، شکستن, اختلا ل ، مزاحمت, بال زنی دسته جمعی ، لرزش ، اهتزاز ، بال و پر زنی ، حرکت سراسیمه ، بال بال زدن(بدون پریدن) ، لرزیدن ، در اهتزاز بودن ، سراسیمه بودن ، لرزاندن, هایهوی ، سروصدا ، نق نق زدن ، اشوب ، نزاع ، هایهو کردن ، ایراد گرفتن ، خرده گیری کردن ، اعتراض کردن, اشوب ، غوغا ، پراشوب
h list	اشوب ، اضطراب ، جنبش ، اغتشاش ، هیاهو, صدای بلند ، غوغا ، طنین بلند ، طنین افکندن, غوغا ، اشوب ، همهمه ، هیاهو, همهمه ، سر و صدا ، قیل و قال ، داد, غوغا ، هنگامه, هنگامه ، همهمه ، غوغا ، شلوغ ، جنجال ، اشوب ، التهاب ، اغتشاش کردن ، جنجال راه انداختن
h lkk minen	اهسته دویدن ، جلو امدگی یا عقب رفتگی ، باریکه ، بیقاعدگی ، هل دادن ، تنه زدن به, خرامیدن ، رقصیدن ، جست وخیز کردن ، شلنگ انداختن ، تاخت رفتن (اسب وغیره) ، بجست وخیز دراوردن ، جست وخیز وشلنگ تخته ، تاخت ، حرکت خرامان, یورتمه ، یورتمه روی ، بچه تاتی کن ، یورتمه رفتن ، صدای یورتمه رفتن اسب ، کودک ، عجوزه
h ll	شل ، سست ، لق ، گشاد ، ول ، ازاد ، بی ربط ، هرزه ، بی بندوبار ، لوس وننر ، بی پایه ، بی قاعده ، رهاکردن ، درکردن(گلوله وغیره) ، منتفی کردن ، برطرف کردن ، شل وسست شدن ، نرم وازاد شدن ، حل کردن ، از قید مسلولیت ازاد ساختن ، سبکبار کردن ، پرداختن
h ly	لرزیدن ، دودل بودن ، هیجان, ضربه ، صدای چلپ ، اویخته وشل ، برگه یا قسمت اویخته ، زبانه کفش ، بال وپرزدن مرغ بهم زدن ، پرزدن ، دری وری گفتن, هایهوی ، سروصدا ، نق نق زدن ، اشوب ، نزاع ، هایهو کردن ، ایراد گرفتن ، خرده گیری کردن ، اعتراض کردن, غریو ، هیاهو ، خروش ، همهمه ، شلوغ ، اشفتگی, خش ، اختلا ل ، پارازیت ، سروصدا, سر وصدا ، جنجال ، هیاهو ، امد ورفت ه ، حالت اضطراب ، نگرانی ، مضطرب ، شدن ، اشوبناک کردن
h lytt	هشدار ، اگاهی از خطر ، اخطار ، شیپور حاضرباش ، اشوب ، هراس ، بیم و وحشت ، ساعت زنگی ، :از خطر اگاهانیدن ، هراسان کردن ، مضطرب کردن
h mh kki	عنکبوت ، کارتنه ، کارتنک ، ناتنک
h mmennys	اسیمگی ، پریشانی ، درهم وبرهمی ، اغتشاش ، دست پاچگی
h mr	پنهان ، مرموز ، رمزی, تار ، تاریک ، تیره کردن ، :کم نور ، تاریک ، تار ، مبهم, تاریک وروشن ، هوای گرگ ومیش ، هنگام غروب ، تاریک نمودن, ضعیف ، کم نور ، غش ، ضعف کردن ، غش کردن, نفوذ ناپذیر ، مرموز, اسرار امیز ، مرموز ، مبهم, تاریک روشن ، هوای گرگ ومیش ، شفق
h mrt	لکه ، تیرگی ، منظره مه الود ، لک کردن ، تیره کردن ، محو کردن ، نامشخص بنظر امدن, تیره ، تار ، محو ، مبهم ، نامفهوم ، گمنام ، تیره کردن ، تاریک کردن ، مبهم کردن ، گمنام کردن
h my	تاریک وروشن ، هوای گرگ ومیش ، هنگام غروب ، تاریک نمودن, تاریک روشن ، هوای گرگ ومیش ، شفق
h nen	اورا (مونث) ، ان زن را ، باو ، مال او, ضمیر ملکی سوم شخص مفردمذکر ، مال او (مرد) ، مال انمرد
h pisy	بی حرمتی ، هتک حرمت, تخلف ، تخطی
h rk	گاونر ، نر ، حیوانات نر بزرگ ، فرمان ، مثل گاو نر رفتارکردن ، بی پرواکارکردن, گاو نر, راندن ، بردن ، راهنمایی کردن ، هدایت کردن ، گوساله پرواری ، رهبری ، حکومت, برج ثور ، گاو گردون ، گاو
h rski	ترشیده ، بو گرفته ، باد خورده ، فاسد ، نامطبوع ، متعفن
h t	پریشانی ، اندوه ، محنت ، تنگدستی ، درد ، مضطرب کردن ، محنت زده کردن, امر فوق العاده و غیره منتظره ، حتمی ، ناگه اینده ، اورژانس
h tinen	هوسباز ، دمدمی مزاج ، بوالهوس, اتفاقی ، غیر مهم ، غیر جدی, سرسری ، از روی سرعت وعجله ، باسرعت وبیدقتی, عجول ، شتاب زده ، دست پاچه ، تند ، زودرس, کسیکه از روی انگیزه انی و بدون فکر قبلی عمل میکند, گذرنده ، زود گذر ، فانی ، بالغ بر ، در گذشت, باری بهر جهت ، سرسری ، بی مبالا ت, بوالهوس ، وسواسی ، دهن بین ، غریب ، خیالباف
h ttila	بحران, امر فوق العاده و غیره منتظره ، حتمی ، ناگه اینده ، اورژانس
h veliisyys	ازرم ، شکسته نفسی ، عفت ، فروتنی
h vi	شکست دادن ، هزیمت ، مغلوب ساختن
h vij	بازنده ، ورق بازنده ، اسب بازنده ، ضرر کننده
h vit	ناپدید شدن ، غایب شدن ، پیدا نبودن, گم کردن ، مفقود کردن ، تلف کردن ، از دست دادن ، زیان کردن ، منقضی شدن ، باختن(در قمار وغیره) ، شکست خوردن, ناپدید شدن ، به صفر رسیدن
h vittj	مخرب ، ویرانگر ، نابود کننده ، ناو شکن, رزمنده ، جنگ کننده ، جنگنده ، مشت باز
h vytn	بی باک ، دلیر ، خشن وبی احتیاط ، جسور ، گستاخ ، متهور ، باشهامت, برنجی ، بی شرم ، بی باک ، بی پروایی نشان دادن ، گستاخی کردن, (z.e.) از خود بیخود شدن ، تلنگر ، ضربت سبک وناگهانی ، تلنگر زدن ، :گستاخ ، جسور ، پر رو, گستاخ ، چشم سفید ، پر رو, گستاخ ، جسور, بی حیا ، بی شرم ، بی شرمانه ، ننگ اور
h yry	بخار ، بخار دهان ، بخار از دهان خارج کردن ، متصاعد شدن ، بوی بد دادن, بخار ، دمه ، بخار اب ، بخار دادن ، بخار کردن, بخار ، دمه ، مه ، تبخیر کردن یا شدن ، بخور دادن ، چاخان کردن
haaksirikko	بلا ، بیچارگی ، بدبختی ، مصیبت ، فاجعه, بدبختی ، حادثه بد ، مصیبت ، بلا ، ستاره ء بدبختی, کشتی شکستگی ، غرق کشتی ، غرق ، کشتی شکسته شدن
haalea	نیم گرم ، ولرم ، ملول ، غیر صمیمی ، بی اشتیاق, کمرنگ ، رنگ پریده ، رنگ رفته ، بی نور ، رنگ پریده شدن ,رنگ رفتن ، در میان نرده محصور کردن ، احاطه کردن ، میله دار کردن ، نرده ، حصار دفاعی ، دفاع ، ناحیه محصور ، قلمروحدود, نیم گرم ، ولرم ، سست
haalia	گرداوردن ، جمع کردن ، وصول کردن, گرد اوری کردن
haalistua	محو کردن ، محو شدن
haamu	ظهور ، خیال ، روح ، تجسم ، شبح ، منظر, شبح ، روح ، روان ، جان ، خیال ، تجسم روح ، چون روح بر خانه ها و غیره سرزدن, خیال ، منظر ، ظاهر فریبنده ، شبح ، خیالی ، روح, سایه ، حباب چراغ یا فانوس ، اباژور ، سایه بان ، جای سایه دار ، اختلا ف جزءی ، سایه رنگ ، سایه دار کردن ، سایه افکندن ، تیره کردن ، کم کردن ، زیر وبم کردن, سایه ، ظل ، سایه افکندن بر ، رد پای کسی را گرفتن ، پنهان کردن, شبح ، روح ، خیال وفکر ، تخیل ، وهم, روح ، شبح ، دیو ، جن ، ترساندن
haapa	درخت اشنگ ، کبوده ، صنوبر لرزان
haara	شاخه ، ترکه ، تنه درخت ، شانه حیوان, شاخه ، شاخ ، فرع ، شعبه ، رشته ، بخش ، شاخه دراوردن ، شاخه شاخه شدن ، منشعب شدن ، گل وبوته انداختن ، مشتق شدن ، جوانه زدن ، براه جدیدی رفتن, خوراک دهنده ، خورنده ، چرنده ، چارپایان پرواری ، رود فرعی ، بطری پستانک دار ، سوخت رسان ، ناودان, چنگال ، محل انشعاب ، جند شاخه شدن, دلا لت ، معنی ، مستلزم بودن ، مفهوم, ساق پا ، پایه ، ساقه ، ران ، پا ، پاچه ، پاچه شلوار ، بخش ، قسمت ، پا زدن ، دوندگی کردن, عضو ، عضو بدن ، دست یا پا ، بال ، شاخه ، قطع کردن عضو ، اندام زبرین ، اندام زیرین, انشعاب ، شاخه شاخگی, خراجگزار ، فرعی ، تابع ، شاخه ، انشعاب
haarakiila	محل انشعاب شاخه از بدنه درخت ، دوشاخه ، نقطه انشعاب (مثل محل انشعاب بدن انسان بدو پا), مرغک ، خشتک ، بغل دم ، پشت بند ، عقربک
haarautua	شاخه ، شاخ ، فرع ، شعبه ، رشته ، بخش ، شاخه دراوردن ، شاخه شاخه شدن ، منشعب شدن ، گل وبوته انداختن ، مشتق شدن ، جوانه زدن ، براه جدیدی رفتن, تقسیم کردن ، پخش کردن ، جداکردن ، اب پخشان, چنگال ، محل انشعاب ، جند شاخه شدن
haarniska	زره ، جوشن ، سلا ح ، زره پوش کردن ، زرهی کردن
haarukka	چنگال ، محل انشعاب ، جند شاخه شدن
haaskat	مردار ، لا شه ، گوشت گندیده
haaskata	ویران کردن ، خراب کردن, نابودی ، خرابی ، خرابه ، ویرانه ، تباهی ، خراب کردن ، فنا کردن ، فاسد کردن, دور انداختن ، اشغال ، چیز دورانداخته ، چیز بی مصرف, اشغال ، مهمل ، خاکروبه ، زواءد گیاهان ، بصورت اشغال در اوردن, هرزدادن ، حرام کردن ، بیهوده تلف کردن ، نیازمند کردن ، بی نیرو و قوت کردن ، ازبین رفتن ، باطله ، زاءد ، اتلا ف
haaskaus	هرزدادن ، حرام کردن ، بیهوده تلف کردن ، نیازمند کردن ، بی نیرو و قوت کردن ، ازبین رفتن ، باطله ، زاءد ، اتلا ف
haastaa	فرا خواندن ، فرا خوان, بمبارزه طلبیدن ، رقابت کردن ، سرپیچی کردن ، سرتافتن ، متهم کردن ، طلب حق ، گردن کشی ، دعوت بجنگ, گپ زدن ، دوستانه حرف زدن ، سخن دوستانه ، درددل ، گپ, دعوت کردن ، طلبیدن ، خواندن ، وعده گرفتن ، مهمان کردن ، وعده دادن, گفتگو ، صحبت ، حرف ، مذاکره ، حرف زدن
haastaja	رقابت ، مسابقه, رقیب ، هم چشم ، حریف ، هم اورد, هم اورد ، رقیب ، حریف ، هم چشم ، هم چشمی کننده ، نظیر ، شبیه ، هم چشمی ، رقابت کردن
haastattelu	دیدار (برای گفتگو) مصاحبه ، مذاکره ، مصاحبه کردن
haaste	مراحل مختلف چیزی ، پیشرفت تدریجی ومداوم ، جریان عمل ,مرحله ، دوره عمل ، طرز عمل ، تهیه کردن ، مراحلی را طی کردن ، بانجام رساندن ، تمام کردن ، فرا گرد ، فراشد ، روند ، فرایند
haava	پیچانده ، پیچ خورده ، کوک شده ، رزوه شده.(.vi &.vt ، .n) زخم ، جراحت ، جریحه ، مجروح کردن ، زخم زدن
haavauma	زخم ، قرحه ، زخم معده ، قرحه دار کردن یا شدن ، ریش کردن ، ریش
haavautua	زخم شدن ، تولید قرحه کردن ، ریش شدن
haavautuma	زخم ، قرحه ، زخم معده ، قرحه دار کردن یا شدن ، ریش کردن ، ریش
haave	خواب ، خواب دیدن ، رویا دیدن, دید ، بینایی ، رویا ، خیال ، تصور ، دیدن ، یا نشان دادن (دررویا) ، منظره ، وحی ، الهام ، بصیرت
haaveksija	ادم خیال باف
hahmo	دخشه, شکل ، رقم ، پیکر
hahmotella	طرح کلی ، رءوس مطالب
hahmotelma	رسم ، نقشه کشی ، قرعه کشی, طرح ، انگاره ، نقشه ساده ، مسوده ، شرح ، پیش نویس ازمایشی ، زمینه ، خلا صه ، ملخص ، مسوده کردن ، پیش نویس چیزی را اماده کردن
hahmottaa	جسم دادن (به) ، مجسم کردن ، دربرداشتن ، متضمن بودن, طرح کلی ، رءوس مطالب, طرح ، انگاره ، نقشه ساده ، مسوده ، شرح ، پیش نویس ازمایشی ، زمینه ، خلا صه ، ملخص ، مسوده کردن ، پیش نویس چیزی را اماده کردن
hai	سگ دریایی ، کوسه ماهی ، متقلب ، گوش بری ، گوش بری کردن
haikailla	میل داشتن ، ارزو کردن ، میل ، ارزو ، کام ، خواستن ، خواسته, ارزومند چیزی بودن ، اشتیاق داشتن ، مردد ودودل بودن, ارزو کردن ، اشتیاق داشتن ، مشتاق بودن
haima	لوزالمعده ، خوش گوشت
hairahtunut	عیار ، اواره ، سرگردان ، حادثه جو ، کمراه ، منحرف ، بدنا
haista	تعفن ، گند ، بوی بد دادن ، بدبو کردن ، تعفن داشتن ، بد بودن
haistaa	بویایی ، شامه ، بو ، رایحه ، عطر ، استشمام ، بوکشی ، بوییدن ، بوکردن ، بودادن ، رایحه داشتن ، حاکی بودن از
haitallinen	مضر ، پرگزند
haitari	اکوردءون, ارغنون, عضو ، الت ، ارگان, یکنوع الت موسیقی بادی
haitata	بازداشتن ، مانع شدن ، ممانعت کردن
haitta	مانع شونده ، منع کننده ، بازدارنده ، ترساننده, زیان ، بی فایدگی ، وضع نامساعد ، اشکال, اشکال ، مانع ، زیان ، بی فایدگی, امتیاز به طرف ضعیف در بازی ، اوانس ، امتیاز دادن ، اشکال ، مانع ، نقص, پاگیری ، بازماندگی ، اذیت ، ازار ، مانع ، سبب تاخیر, مانع ، عایق ، رادع ، محظور ، اشکال ، گیر
hajaantua	پراکنده کردن ، متفرق کردن, پراکندگی کردن ، ازهم پاشیدن ، اسراف کردن, پراکندن ، پخش کردن ، ازهم جدا کردن ، پراکنده وپریشان کردن ، افشاندن ، متفرق کردن
hajaantuminen	تباین ، انشعاب
hajalla	شکسته ، شکسته شده ، منقطع ، منفصل ، نقض شده ، رام واماده سوغان گیری
hajanainen	شکسته ، شکسته شده ، منقطع ، منفصل ، نقض شده ، رام واماده سوغان گیری, بی قاعده ، پرت ، بی ترتیب ، درهم و برهم ، بی ربط, منتشر شده ، پراکنده ، پخش شده ، افشانده ، افشاندن ، پخش کردن ، منتشر کردن, بی ربط ، گسیخته ، متلا شی ، در رفته ، نامربوط, متناقض ، بی ربط, سوگند ملا یم ، بخدا ، : طاق ، تک ، فرد ، عجیب و غریب ، ادم عجیب ، نخاله, ترک ، انشعاب ، دوبخشی ، شکافتن, تک وتوک ، تک تک ، پراکنده ، انفرادی ، گاه وبیگاه, سرگردان ، ولگردی ، ولگرد ، راه گذر ، جانور بی صاحب ، اواره کردن ، سرگردان شدن ، منحرف شدن ، گمراه شدن
hajanaisuus	اسیمگی ، پریشانی ، درهم وبرهمی ، اغتشاش ، دست پاچگی, ناسازگاری ، اختلا ف ، دعوا ، نزاع ، نفاق ، ناجور بودن ، ناسازگار بودن, پراکندگی ، تفرق, عدم ربط ، عدم چسبندگی ، ناجوری ، عدم تطابق ، ناسازگاری ، تناقض
hajareisin	با پاهای از هم گشاده (مثل سوار اسب شدن) ، دارای پای گشاد ، گشادگشاد, با پاهای گشاد از هم
hajautettu	توزیع شده
hajauttaa	عدم تمرکز دادن ، حکومت محلی دادن به, از حالت تغلیظ خارج کردن
hajoaminen	ریزش ، افاضه ، انتشار ، پخش
hajonta	توزیع ، پخش
hajota	سقوط ناگهانی ، درهم شکننده ، فروریختن ، درهم شکستن ، از اثر انداختن ، تجزیه کردن ، طبقه بندی کردن ، تقسیم بندی کردن, مجسمه نیم تنه ، بالا تنه ، سینه ، انفجار ، ترکیدگی ، ترکیدن  ، خرد گشتن ، ورشکست شدن ، ورشکست کردن ، بیچاره کردن, فروریختن ، متلا ش
hajotelma	تجزیه, عامل بندی ، فاکتور گیری, تیغه ، دیواره ، وسیله یا اسباب تفکیک ، حد فاصل ، اپارتمان ، تقسیم به بخش های جزء کردن ، تفکیک کردن ، جدا کردن
hajottaa	تفکیک کردن ، تجزیه ، انحلا ل, مجسمه نیم تنه ، بالا تنه ، سینه ، انفجار ، ترکیدگی ، ترکیدن  ، خرد گشتن ، ورشکست شدن ، ورشکست کردن ، بیچاره کردن, بسرعت رفتن ، بسرعت انجام دادن ، فاصله میان دو حرف ، این علا مت ( ? ) ، بشدت زدن ، پراکنده کردن, خرد کردن ، تجزیه شدن ، فرو ریختن ، از هم پاشیدن ، فاسد شدن ، متلا شی شدن یاکردن, برطرف کردن ، دفع کردن ، طلسم را باطل کردن, پراکنده کردن ، متفرق کردن, پراکندگی کردن ، ازهم پاشیدن ، اسراف کردن, جزء ، قطعه ، پاره ، جدا کردن ، جداشدن, پراکندن ، پخش کردن ، ازهم جدا کردن ، پراکنده وپریشان کردن ، افشاندن ، متفرق کردن, تصادم ، خردشدگی ، برخورد ، خرد کردن ، شکست دادن ، درهم شکستن ، بشدت زدن ، منگنه کردن ، پرس کردن ، ورشکست شدن ، درهم کوبیدن
hajuste	عطر ، بوی خوش ، معطر کردن
haka	دندان ناب ، دندان انیاب (در سگ و مانند ان) ، نیش, قلا ب ، چنگک ، دام ، تله ، ضربه ، بشکل قلا ب دراوردن ,کج کردن ، گرفتارکردن ، بدام انداختن ، ربودن ، گیر اوردن
hakanen	تحریک احساسات ، تجدید و احیای روحیه ، بند شلوار ، خط ابرو ، بابست محکم کردن ، محکم بستن ، درمقابل فشار مقاومت کردن ، اتل
hakata	تپیدن ، زدن ، کتک زدن ، چوب زدن ، شلا ق زدن ,کوبیدن ، :ضرب ، ضربان نبض وقلب ، تپش ، ضربت موسیقی ، غلبه ، پیشرفت ، زنش, ریز ریز کردن ، بریدن ، جدا کردن ، شکستن, بریدن ، گسیختن ، گسستن ، چیدن ، زدن ، پاره کردن ، قطع کردن ، کم کردن ، تراش دادن (الماس وغیره) ، عبور کردن ,گذاشتن ، برش ، چاک ، شکاف ، معبر ، کانال ، جوی ، تخفیف ، بریدگی, کلنگ ، سرفه خشک وکوتاه ، چاک ، برش ، شکافی که بر اثر بیل زدن یا شخم زده ایجاد میشود ، ضربه ، ضربت ، بریدن ,زخم زدن ، خردکردن ، بیل زدن ، اسب کرایه ای ، اسب پیر ، درشکه کرایه ، نویسنده مزدور ، جنده
hakea	نگران بودن ، منتظر بودن ، درجستجو بودن ، بیمار بودن, تعقیب کردن ، تعاقب کردن ، تحت تعقیب قانونی قرار دادن ، دنبال کردن ، اتخاذکردن ، پیگیری کردن ، پیگرد کردن, جستجو ، جستجو کردن, طلب کردن ، پیگردی کردن
hakea katseellaan	همتا ، جفت ، قرین ، همشان ، عضو مجلس اعیان ، صاحب لقب اشرافی ، رفیق ، برابر کردن ، هم درجه کردن ، بدرجه اشرافی (مثل کنت وغیره) رسیدن ، برابر بودن با ، بدقت نگریستن ، باریک شدن ، نمایان شدن ، بنظررسیدن ، همال
hakkailla	لا س ، حرکت تند وسبک ، لا س زدن ، اینسو وانسو جهیدن, تندرفتن ، نقل مکان کردن, بال زنی دسته جمعی ، لرزش ، اهتزاز ، بال و پر زنی ، حرکت سراسیمه ، بال بال زدن(بدون پریدن) ، لرزیدن ، در اهتزاز بودن ، سراسیمه بودن ، لرزاندن
hakusana	ثبت ، فقره ، قلم ، دخول ، مدخل ، ادخال
halailla	دراغوش گرفتن ، در بر گرفتن ، بغل کردن ، پذیرفتن ، شامل بودن
halata	دراغوش گرفتن ، در بر گرفتن ، بغل کردن ، پذیرفتن ، شامل بودن, دراغوش گرفتن ، بغل کردن ، محکم گرفتن
halaus	دراغوش گرفتن ، بغل کردن ، محکم گرفتن
hali	دراغوش گرفتن ، بغل کردن ، محکم گرفتن
haljeta	قطاری ، پشت سر هم
halkaisija	مورب ، اریب ، دوگوشه ، قاطع دو زاویه ، قطر, قطر دایره ، ضخامت ، کلفتی, بادبان سه گوش جلو کشتی ، لب زیرین ، دهان ، حرف ، ارواره ، نوسان کردن ، واخوردن ، پس زنی ، وقفه
halkaista	دونیم کردن ، دو نصف کردن, جزء ، قطعه ، پاره ، جدا کردن ، جداشدن, ترک ، انشعاب ، دوبخشی ، شکافتن
halkeama	کاف ، رخنه ، ترک ، شکاف ، ضربت ، ترق تروق ، ترکانیدن ، را بصدا دراوردن ، تولید صدای ناگهانی وبلند کردن ، شکاف برداشتن ، ترکیدن ، تق کردن
hallinta	فرمان, کنترل, اداره ، ترتیب ، مدیریت ، مدیران ، کارفرمایی, اربابی ، سلطه
hallinto	اداره ء کل ، حکومت ، اجرا ، الغاء ، سوگند دادن ، تصفیه ، وصایت ، تقسیمات جزء وزارتخانه ها در شهرها ، فرمداری, دولت ، حکومت ، فرمانداری ، طرز حکومت هیلت دولت ، عقل اختیار ، صلا حدید
hallintovalta	اجازه ، اختیار, تسلط ، نفوذ ، غلبه
hallita	فرمان, کنترل, چیره شدن ، حکمفرما بودن ، تسلط داشتن ، تفوق یافتن, حکومت کردن ، حکمرانی کردن ، تابع خود کردن ، حاکم بودن ، فرمانداری کردن ، معیف کردن ، کنترل کردن ، مقرر داشتن, دانشور ، چیره دست ، ارباب ، استاد ، کارفرما ، رءیس ، مدیر ، مرشد ، پیر ، خوب یادگرفتن ، استاد شدن ، تسلط یافتن بر ، رام کردن, مسلط یا مشرف بودن بر ، چشم پوشی کردن ، چشم انداز, برتی جستن بر ، فاءق امدن بر ، بلندتربودن, جلوگیری کردن از ، نگهداشتن ، مهار کردن, قاعده ، دستور ، حکم ، بربست ، قانون ، فرمانروایی ، حکومت کردن ، اداره کردن ، حکم کردن ، گونیا
hallitsematon	غیرقابل جلوگیری ، کنترل ناپذیر ، غیرقابل نظارت
hallitsija	فرمانروا ، حکمران ، رءیس ، سر ، خط کش
hallituksen raportti	کتاب سفید, گزارش هیلت دولت ، نامه سفید ، کتاب سفید
hallitus	دولت ، حکومت ، فرمانداری ، طرز حکومت هیلت دولت ، عقل اختیار ، صلا حدید
halpa	ارزان ، جنس پست ، کم ارزش ، پست, ارزان ، کم خرج ، معقول ، صرفه جو ، ساده
haltia	جن ، پری, پری ، جن ، افسونگری ، ساحره
halu	میل داشتن ، ارزو کردن ، میل ، ارزو ، کام ، خواستن ، خواسته
haluamaton	بی میل ، بی تمایل
halukas	مایل ، راضی ، حاضر ، خواهان ، راغب
haluta	میل داشتن ، ارزو کردن ، میل ، ارزو ، کام ، خواستن ، خواسته, خیال ، وهم ، تصور ، قوه مخیله ، هوس ، تجملی ، تفننی ، علا قه داشتن به ، تصور کردن, خواست ، خواسته ، خواستن ، لا زم داشتن ، نیازمند بودن به ، نداشتن ، کم داشتن ، فاقد بودن ، محتاج بودن ، کسر داشتن ، فقدان ، نداشتن ، عدم ، نقصان ، نیاز ، نداری, خواستن ، میل داشتن ، ارزو داشتن ، ارزو کردن ، ارزو ، خواهش ، خواسته ، مراد ، حاجت ، کام ، خواست ، دلخواه
haluton	بی میل ، بی تمایل
haluttu	قابل انتخاب ، واجد شرایط ، مطلوب
halveksia	بی اهمیتی ، کم گرفتن ، ناچیز پنداشتن, بی احترامی ، بی حرمتی ، اهانت ، عدم رعایت
halveksittu	پایه ، مبنا ، پایگاه, قابل تحقیر ، خوار ، پست, میانه ، متوسط ، وسطی ، واقع دروسط ، حد وسط ، متوسط ، میانه روی ، اعتدال ، منابع درامد ، عایدی ، پست فطرت ، بدجنس ، اب زیرکاه ، قصد داشتن ، مقصود داشتن ، هدف داشتن ، معنی ومفهوم خاصی داشتن ، معنی دادن ، میانگین, پست ، فرومایه ، فاسد ، بداخلا ق ، شرم اور ، زننده
halveksua	خوار شمردن ، حقیر شمردن, خوار شمردن ، حقیر شمردن ، تحقیر کردن ، نفرت داشتن, اهانت ، استغنا ، عار (دانی) ، تحقیر ، خوار شمردن, تمسخر ، تحقیر ، بی اعتنایی ، حقارت ، خوار شمردن ، اهانت کردن ، استهزاء کردن ، خردانگاری ، خردانگاشتن
halveksunta	تحقیر ، اهانت ، خفت ، خواری, بی ادبی ، بی تربیتی ، خشونت ، تندی ، عدم نزاکت, بی احترامی ، بی حرمتی ، اهانت ، عدم رعایت
hame	دامن لباس ، دامنه ، دامنه کوه ، حومه شهر ، حوالی ، دامن دوختن ، دامن دار کردن ، حاشیه گذاشتن به ، از کنار چیزی رد شدن ، دور زدن ، احاطه کردن
hammas	دندان ناب ، دندان انیاب (در سگ و مانند ان) ، نیش, دندان ، دندانه ، نیش ، دارای دندان کردن ، دندانه دار کردن ، مضرس کردن
hammasharja	مسواک دندان
hammaspyr	چرخ دندانه دار ، چرخ دنده
hammassrky	دندان درد ، درد دندان
hammastahna	خمیر دندان
hammastikku	خلا ل دندان ، دندان کاو
hampaanjuuri	دندان ناب ، دندان انیاب (در سگ و مانند ان) ، نیش
hamstrata	نهانگاه ، ذخیره گاه ، چیز نهان شده ، مخزن ، پنهان کردن, اندوخته ، ذخیره ، احتکار ، ذخیره کردن, احتکارکردن ، انباشتن ، گنج, انداختن ، کنار گذاشتن, انبار کردن ، ذخیره کردن (درمحل مخفی برای اینده) ، انباشتن ، محبوس کردن ، پنهانگاه
hamuilla	کورمالی ، دست مالی ، کورمالی کردن ، در تاریکی پی چیزی گشتن ، ازمودن
hamuta	کورمالی ، دست مالی ، کورمالی کردن ، در تاریکی پی چیزی گشتن ، ازمودن
han	همانا ، حتما ، مطملنا, براستی ، راستی ، حقیقتا ، واقعا ، هر اینه ، در واقع ، همانا ، فی الواقع ، اره راستی, سریع تر ، بلکه ، بیشتر ، تا یک اندازه ، نسبتا ، با میل بیشتری ، ترجیحا, یقینا ، محققا ، مسلما ، بطور حتم
hana	شیر اب ، شیر بشکه, شیر اب ، ضربت اهسته ، ضربات اهسته وپیوسته زدن ، شیر اب زدن به ، از شیر اب جاری کردن ، بهره برداری کردن از ، سوراخ چیزیرا بند اوردن
hangata	مالیدن ، سودن ، ساییدن ، پاک کردن ، اصطکاک پیدا کردن ، ساییده شدن
hanhi	قاز ، غاز ، ماده غاز ، گوشت غاز ، ساده لوح واحمق ، سیخ زدن به شخص ، به کفل کسی سقلمه زدن ، مثل غاز یا گردن دراز حمله ور شدن وغدغد کردن ، اتو ، اتو کردن ، هیس ، علا مت سکوت
hankala	پیچیده ، مختلط, سخت ، دشوار ، مشکل ، سخت گیر ، صعب ، گرفتگیر, سخت ، سفت ، دشوار ، مشکل ، شدید ، قوی ، سخت گیر ، نامطبوع ، زمخت ، خسیس ، درمضیقه
